Setting Name,Full Setting Command
"about","ms-settings:about"
"accounts","ms-settings:accounts"
"activation","ms-settings:activation"
"advanced-apps","ms-settings:advanced-apps"
"appsfeatures","ms-settings:appsfeatures"
"appsfeatures-app","ms-settings:appsfeatures-app"
"appsforwebsites","ms-settings:appsforwebsites"
"apps-volume","ms-settings:apps-volume"
"assignedaccess","ms-settings:assignedaccess"
"audio-outputdevices","ms-settings:audio-outputdevices"
"autoplay","ms-settings:autoplay"
"backup","ms-settings:backup"
"batterysaver","ms-settings:batterysaver"
"batterysaver-settings","ms-settings:batterysaver-settings"
"batterysaver-usagedetails","ms-settings:batterysaver-usagedetails"
"bluetooth","ms-settings:bluetooth"
"camera","ms-settings:camera"
"clipboard","ms-settings:clipboard"
"colors","ms-settings:colors"
"connecteddevices","ms-settings:connecteddevices"
"cortana-windowssearch","ms-settings:cortana-windowssearch"
"crossdevice","ms-settings:crossdevice"
"datausage","ms-settings:datausage"
"dateandtime","ms-settings:dateandtime"
"defaultapps","ms-settings:defaultapps"
"defaultbrowsersettings","ms-settings:defaultbrowsersettings"
"delivery-optimization","ms-settings:delivery-optimization"
"delivery-optimization-activity","ms-settings:delivery-optimization-activity"
"delivery-optimization-advanced","ms-settings:delivery-optimization-advanced"
"developers","ms-settings:developers"
"deviceencryption","ms-settings:deviceencryption"
"devices","ms-settings:devices"
"devices-touch","ms-settings:devices-touch"
"devices-touchpad","ms-settings:devices-touchpad"
"devicestyping-hwkbtextsuggestions","ms-settings:devicestyping-hwkbtextsuggestions"
"deviceusage","ms-settings:deviceusage"
"disksandvolumes","ms-settings:disksandvolumes"
"display","ms-settings:display"
"display-advanced","ms-settings:display-advanced"
"display-advancedgraphics","ms-settings:display-advancedgraphics"
"display-advancedgraphics-default","ms-settings:display-advancedgraphics-default"
"easeofaccess","ms-settings:easeofaccess"
"easeofaccess-audio","ms-settings:easeofaccess-audio"
"easeofaccess-closedcaptioning","ms-settings:easeofaccess-closedcaptioning"
"easeofaccess-colorfilter","ms-settings:easeofaccess-colorfilter"
"easeofaccess-colorfilter-adaptivecolorlink","ms-settings:easeofaccess-colorfilter-adaptivecolorlink"
"easeofaccess-colorfilter-bluelightlink","ms-settings:easeofaccess-colorfilter-bluelightlink"
"easeofaccess-cursor","ms-settings:easeofaccess-cursor"
"easeofaccess-display","ms-settings:easeofaccess-display"
"easeofaccess-eyecontrol","ms-settings:easeofaccess-eyecontrol"
"easeofaccess-highcontrast","ms-settings:easeofaccess-highcontrast"
"easeofaccess-keyboard","ms-settings:easeofaccess-keyboard"
"easeofaccess-magnifier","ms-settings:easeofaccess-magnifier"
"easeofaccess-mouse","ms-settings:easeofaccess-mouse"
"easeofaccess-mousepointer","ms-settings:easeofaccess-mousepointer"
"easeofaccess-narrator","ms-settings:easeofaccess-narrator"
"easeofaccess-narrator-addhighqualityvoices","ms-settings:easeofaccess-narrator-addhighqualityvoices"
"easeofaccess-narrator-isautostartenabled","ms-settings:easeofaccess-narrator-isautostartenabled"
"easeofaccess-speechrecognition","ms-settings:easeofaccess-speechrecognition"
"easeofaccess-visualeffects","ms-settings:easeofaccess-visualeffects"
"emailandaccounts","ms-settings:emailandaccounts"
"energyrecommendations","ms-settings:energyrecommendations"
"extras","ms-settings:extras"
"family-group","ms-settings:family-group"
"findmydevice","ms-settings:findmydevice"
"fonts","ms-settings:fonts"
"gaming-gamebar","ms-settings:gaming-gamebar"
"gaming-gamedvr","ms-settings:gaming-gamedvr"
"gaming-gamemode","ms-settings:gaming-gamemode"
"holographic","ms-settings:holographic"
"holographic-audio","ms-settings:holographic-audio"
"holographic-headset","ms-settings:holographic-headset"
"holographic-management","ms-settings:holographic-management"
"holographic-startupanddesktop","ms-settings:holographic-startupanddesktop"
"home","ms-settings:home"
"installed-apps","ms-settings:installed-apps"
"keyboard","ms-settings:keyboard"
"keyboard-advanced","ms-settings:keyboard-advanced"
"lockscreen","ms-settings:lockscreen"
"maps","ms-settings:maps"
"maps-downloadmaps","ms-settings:maps-downloadmaps"
"mobile-devices","ms-settings:mobile-devices"
"mobile-devices-addphone","ms-settings:mobile-devices-addphone"
"mobile-devices-addphone-direct","ms-settings:mobile-devices-addphone-direct"
"mousetouchpad","ms-settings:mousetouchpad"
"multitasking","ms-settings:multitasking"
"multitasking-sgupdate","ms-settings:multitasking-sgupdate"
"network","ms-settings:network"
"network-advancedsettings","ms-settings:network-advancedsettings"
"network-advancedsharing","ms-settings:network-advancedsharing"
"network-airplanemode","ms-settings:network-airplanemode"
"network-cellular","ms-settings:network-cellular"
"network-dialup","ms-settings:network-dialup"
"network-directaccess","ms-settings:network-directaccess"
"network-ethernet","ms-settings:network-ethernet"
"network-mobilehotspot","ms-settings:network-mobilehotspot"
"network-proxy","ms-settings:network-proxy"
"network-status","ms-settings:network-status"
"network-vpn","ms-settings:network-vpn"
"network-wifi","ms-settings:network-wifi"
"network-wifisettings","ms-settings:network-wifisettings"
"nightlight","ms-settings:nightlight"
"notifications","ms-settings:notifications"
"optionalfeatures","ms-settings:optionalfeatures"
"otherusers","ms-settings:otherusers"
"pen","ms-settings:pen"
"personalization","ms-settings:personalization"
"personalization-background","ms-settings:personalization-background"
"personalization-background-prompt","ms-settings:personalization-background-prompt"
"personalization-colors","ms-settings:personalization-colors"
"personalization-copilot","ms-settings:personalization-copilot"
"personalization-lighting","ms-settings:personalization-lighting"
"personalization-lockscreen","ms-settings:personalization-lockscreen"
"personalization-start","ms-settings:personalization-start"
"personalization-start-places","ms-settings:personalization-start-places"
"personalization-textinput","ms-settings:personalization-textinput"
"phone-defaultapps","ms-settings:phone-defaultapps"
"powersleep","ms-settings:powersleep"
"presence","ms-settings:presence"
"printers","ms-settings:printers"
"privacy","ms-settings:privacy"
"privacy-accountinfo","ms-settings:privacy-accountinfo"
"privacy-activityhistory","ms-settings:privacy-activityhistory"
"privacy-appdiagnostics","ms-settings:privacy-appdiagnostics"
"privacy-automaticfiledownloads","ms-settings:privacy-automaticfiledownloads"
"privacy-backgroundapps","ms-settings:privacy-backgroundapps"
"privacy-backgroundspatialperception","ms-settings:privacy-backgroundspatialperception"
"privacy-broadfilesystemaccess","ms-settings:privacy-broadfilesystemaccess"
"privacy-calendar","ms-settings:privacy-calendar"
"privacy-callhistory","ms-settings:privacy-callhistory"
"privacy-cloudpc","ms-settings:privacy-cloudpc"
"privacy-contacts","ms-settings:privacy-contacts"
"privacy-customdevices","ms-settings:privacy-customdevices"
"privacy-documents","ms-settings:privacy-documents"
"privacy-downloadsfolder","ms-settings:privacy-downloadsfolder"
"privacy-email","ms-settings:privacy-email"
"privacy-eyetracker","ms-settings:privacy-eyetracker"
"privacy-feedback","ms-settings:privacy-feedback"
"privacy-feedback-optinlevelgroup","ms-settings:privacy-feedback-optinlevelgroup"
"privacy-feedback-telemetryviewergroup","ms-settings:privacy-feedback-telemetryviewergroup"
"privacy-general","ms-settings:privacy-general"
"privacy-graphicscaptureprogrammatic","ms-settings:privacy-graphicscaptureprogrammatic"
"privacy-graphicscapturewithoutborder","ms-settings:privacy-graphicscapturewithoutborder"
"privacy-holographic-environment","ms-settings:privacy-holographic-environment"
"privacy-location","ms-settings:privacy-location"
"privacy-messaging","ms-settings:privacy-messaging"
"privacy-microphone","ms-settings:privacy-microphone"
"privacy-motion","ms-settings:privacy-motion"
"privacy-musiclibrary","ms-settings:privacy-musiclibrary"
"privacy-notifications","ms-settings:privacy-notifications"
"privacy-phonecalls","ms-settings:privacy-phonecalls"
"privacy-pictures","ms-settings:privacy-pictures"
"privacy-presencesensing","ms-settings:privacy-presencesensing"
"privacy-radios","ms-settings:privacy-radios"
"privacy-speech","ms-settings:privacy-speech"
"privacy-speechtyping","ms-settings:privacy-speechtyping"
"privacy-tasks","ms-settings:privacy-tasks"
"privacy-videos","ms-settings:privacy-videos"
"privacy-voiceactivation","ms-settings:privacy-voiceactivation"
"privacy-webcam","ms-settings:privacy-webcam"
"project","ms-settings:project"
"project-discoverymode","ms-settings:project-discoverymode"
"proximity","ms-settings:proximity"
"quiethours","ms-settings:quiethours"
"quietmomentsfullscreen","ms-settings:quietmomentsfullscreen"
"quietmomentsgame","ms-settings:quietmomentsgame"
"quietmomentspresentation","ms-settings:quietmomentspresentation"
"quietmomentsscheduled","ms-settings:quietmomentsscheduled"
"recovery","ms-settings:recovery"
"regionformatting","ms-settings:regionformatting"
"regionlanguage","ms-settings:regionlanguage"
"regionlanguage-adddisplaylanguage","ms-settings:regionlanguage-adddisplaylanguage"
"regionlanguage-bpmfime","ms-settings:regionlanguage-bpmfime"
"regionlanguage-cangjieime","ms-settings:regionlanguage-cangjieime"
"regionlanguage-chsime-pinyin","ms-settings:regionlanguage-chsime-pinyin"
"regionlanguage-chsime-pinyin-domainlexicon","ms-settings:regionlanguage-chsime-pinyin-domainlexicon"
"regionlanguage-chsime-pinyin-keyconfig","ms-settings:regionlanguage-chsime-pinyin-keyconfig"
"regionlanguage-chsime-pinyin-udp","ms-settings:regionlanguage-chsime-pinyin-udp"
"regionlanguage-chsime-wubi","ms-settings:regionlanguage-chsime-wubi"
"regionlanguage-chsime-wubi-udp","ms-settings:regionlanguage-chsime-wubi-udp"
"regionlanguage-jpnime","ms-settings:regionlanguage-jpnime"
"regionlanguage-korime","ms-settings:regionlanguage-korime"
"regionlanguage-languageoptions","ms-settings:regionlanguage-languageoptions"
"regionlanguage-quickime","ms-settings:regionlanguage-quickime"
"regionlanguage-setdisplaylanguage","ms-settings:regionlanguage-setdisplaylanguage"
"remotedesktop","ms-settings:remotedesktop"
"savedpasskeys","ms-settings:savedpasskeys"
"savelocations","ms-settings:savelocations"
"screenrotation","ms-settings:screenrotation"
"search","ms-settings:search"
"search-moredetails","ms-settings:search-moredetails"
"search-permissions","ms-settings:search-permissions"
"signinoptions","ms-settings:signinoptions"
"signinoptions-dynamiclock","ms-settings:signinoptions-dynamiclock"
"signinoptions-launchfaceenrollment","ms-settings:signinoptions-launchfaceenrollment"
"signinoptions-launchfingerprintenrollment","ms-settings:signinoptions-launchfingerprintenrollment"
"signinoptions-launchirisenrollment","ms-settings:signinoptions-launchirisenrollment"
"signinoptions-launchpinenrollment","ms-settings:signinoptions-launchpinenrollment"
"signinoptions-launchsecuritykeyenrollment","ms-settings:signinoptions-launchsecuritykeyenrollment"
"sound","ms-settings:sound"
"sound-defaultinputproperties","ms-settings:sound-defaultinputproperties"
"sound-defaultoutputproperties","ms-settings:sound-defaultoutputproperties"
"sound-devices","ms-settings:sound-devices"
"speech","ms-settings:speech"
"startupapps","ms-settings:startupapps"
"storagepolicies","ms-settings:storagepolicies"
"storagerecommendations","ms-settings:storagerecommendations"
"storagesense","ms-settings:storagesense"
"surfacehub-accounts","ms-settings:surfacehub-accounts"
"surfacehub-calling","ms-settings:surfacehub-calling"
"surfacehub-devicemanagenent","ms-settings:surfacehub-devicemanagenent"
"surfacehub-sessioncleanup","ms-settings:surfacehub-sessioncleanup"
"surfacehub-welcome","ms-settings:surfacehub-welcome"
"sync","ms-settings:sync"
"system","ms-settings:system"
"systemcomponents","ms-settings:systemcomponents"
"tabletmode","ms-settings:tabletmode"
"taskbar","ms-settings:taskbar"
"themes","ms-settings:themes"
"troubleshoot","ms-settings:troubleshoot"
"typing","ms-settings:typing"
"usb","ms-settings:usb"
"videoplayback","ms-settings:videoplayback"
"wheel","ms-settings:wheel"
"wifi-provisioning","ms-settings:wifi-provisioning"
"windowsdefender","ms-settings:windowsdefender"
"windowsinsider","ms-settings:windowsinsider"
"windowsinsider-optin","ms-settings:windowsinsider-optin"
"windowsupdate","ms-settings:windowsupdate"
"windowsupdate-action","ms-settings:windowsupdate-action"
"windowsupdate-activehours","ms-settings:windowsupdate-activehours"
"windowsupdate-anotheruser","ms-settings:windowsupdate-anotheruser"
"windowsupdate-history","ms-settings:windowsupdate-history"
"windowsupdate-ipu","ms-settings:windowsupdate-ipu"
"windowsupdate-optionalupdates","ms-settings:windowsupdate-optionalupdates"
"windowsupdate-options","ms-settings:windowsupdate-options"
"windowsupdate-restartoptions","ms-settings:windowsupdate-restartoptions"
"windowsupdate-uninstallupdates","ms-settings:windowsupdate-uninstallupdates"
"workplace","ms-settings:workplace"
"workplace-provisioning","ms-settings:workplace-provisioning"
"workplace-repairtoken","ms-settings:workplace-repairtoken"
"yourinfo","ms-settings:yourinfo"

