Name,ExplorerCommand,RelativePath,ParentFolder
"AccountPictures","explorer shell:AccountPictures","Microsoft\Windows\AccountPictures","AppData"
"Roaming Tiles","explorer shell:Roaming Tiles","Microsoft\Windows\RoamingTiles","Local AppData"
"Common Programs","explorer shell:Common Programs","Programs","Common Start Menu"
"PublicAccountPictures","explorer shell:PublicAccountPictures","AccountPictures","Public"
"GameTasks","explorer shell:GameTasks","Microsoft\Windows\GameExplorer","Local AppData"
"UserProfiles","explorer shell:UserProfiles","","None"
"MyComputerFolder","explorer shell:MyComputerFolder","","None"
"SearchHistoryFolder","explorer shell:SearchHistoryFolder","Microsoft\Windows\ConnectedSearch\History","Local AppData"
"Local Pictures","explorer shell:Local Pictures","Pictures","None"
"SyncSetupFolder","explorer shell:SyncSetupFolder","","None"
"DpapiKeys","explorer shell:DpapiKeys","","None"
"Retail Demo","explorer shell:Retail Demo","Microsoft\Windows\RetailDemo","Common AppData"
"Favorites","explorer shell:Favorites","Favorites","None"
"My Video","explorer shell:My Video","Videos","None"
"SearchHomeFolder","explorer shell:SearchHomeFolder","","None"
"RecordedTVLibrary","explorer shell:RecordedTVLibrary","RecordedTV.library-ms","PublicLibraries"
"System","explorer shell:System","","None"
"Libraries","explorer shell:Libraries","Microsoft\Windows\Libraries","AppData"
"ThisDeviceFolder","explorer shell:ThisDeviceFolder","","None"
"AppsFolder","explorer shell:AppsFolder","","None"
"MusicLibrary","explorer shell:MusicLibrary","Music.library-ms","Libraries"
"CommonVideo","explorer shell:CommonVideo","Videos","Public"
"OneDriveDocuments","explorer shell:OneDriveDocuments","Documents","OneDrive"
"SyncResultsFolder","explorer shell:SyncResultsFolder","","None"
"LocalizedResourcesDir","explorer shell:LocalizedResourcesDir","","None"
"Cookies","explorer shell:Cookies","Microsoft\Windows\INetCookies","Local AppData"
"CameraRollLibrary","explorer shell:CameraRollLibrary","CameraRoll.library-ms","Libraries"
"Original Images","explorer shell:Original Images","Microsoft\Windows Photo Gallery\Original Images","Local AppData"
"Recorded Calls","explorer shell:Recorded Calls","Recorded Calls","Profile"
"3D Objects","explorer shell:3D Objects","3D Objects","Profile"
"CommonMusic","explorer shell:CommonMusic","Music","Public"
"OneDrivePictures","explorer shell:OneDrivePictures","Pictures","OneDrive"
"My Pictures","explorer shell:My Pictures","Pictures","None"
"Cache","explorer shell:Cache","Microsoft\Windows\INetCache","Local AppData"
"Local Videos","explorer shell:Local Videos","Videos","None"
"Downloads","explorer shell:Downloads","Downloads","None"
"SavedPictures","explorer shell:SavedPictures","Saved Pictures","My Pictures"
"CommonDownloads","explorer shell:CommonDownloads","Downloads","Public"
"AppData","explorer shell:AppData","AppData\Roaming","None"
"SyncCenterFolder","explorer shell:SyncCenterFolder","","None"
"PublicLibraries","explorer shell:PublicLibraries","Libraries","Public"
"VideosLibrary","explorer shell:VideosLibrary","Videos.library-ms","Libraries"
"My Music","explorer shell:My Music","Music","None"
"ConflictFolder","explorer shell:ConflictFolder","","None"
"SavedGames","explorer shell:SavedGames","Saved Games","None"
"InternetFolder","explorer shell:InternetFolder","","None"
"Quick Launch","explorer shell:Quick Launch","Microsoft\Internet Explorer\Quick Launch","AppData"
"SystemCertificates","explorer shell:SystemCertificates","","None"
"AppDataProgramData","explorer shell:AppDataProgramData","ProgramData","Local AppData"
"Contacts","explorer shell:Contacts","Contacts","None"
"UserProgramFiles","explorer shell:UserProgramFiles","Programs","Local AppData"
"Device Metadata Store","explorer shell:Device Metadata Store","Microsoft\Windows\DeviceMetadataStore","Common AppData"
"Profile","explorer shell:Profile","","None"
"Start Menu","explorer shell:Start Menu","Microsoft\Windows\Start Menu","AppData"
"Common AppData","explorer shell:Common AppData","","None"
"ProgramFilesCommonX64","explorer shell:ProgramFilesCommonX64","","None"
"PhotoAlbums","explorer shell:PhotoAlbums","Slide Shows","My Pictures"
"ProgramFilesX64","explorer shell:ProgramFilesX64","","None"
"ConnectionsFolder","explorer shell:ConnectionsFolder","","None"
"Administrative Tools","explorer shell:Administrative Tools","Administrative Tools","Programs"
"ThisPCDesktopFolder","explorer shell:ThisPCDesktopFolder","Desktop","None"
"OneDriveCameraRoll","explorer shell:OneDriveCameraRoll","Camera Roll","OneDrivePictures"
"PrintersFolder","explorer shell:PrintersFolder","","None"
"AppMods","explorer shell:AppMods","AppMods","Profile"
"DocumentsLibrary","explorer shell:DocumentsLibrary","Documents.library-ms","Libraries"
"AppDataDocuments","explorer shell:AppDataDocuments","Documents","Local AppData"
"ProgramFilesX86","explorer shell:ProgramFilesX86","","None"
"AppDataFavorites","explorer shell:AppDataFavorites","Favorites","Local AppData"
"Searches","explorer shell:Searches","Searches","None"
"Local Downloads","explorer shell:Local Downloads","Downloads","None"
"SearchTemplatesFolder","explorer shell:SearchTemplatesFolder","Microsoft\Windows\ConnectedSearch\Templates","Local AppData"
"Common Startup","explorer shell:Common Startup","StartUp","Common Programs"
"ControlPanelFolder","explorer shell:ControlPanelFolder","","None"
"SendTo","explorer shell:SendTo","Microsoft\Windows\SendTo","AppData"
"ResourceDir","explorer shell:ResourceDir","","None"
"ProgramFiles","explorer shell:ProgramFiles","","None"
"CredentialManager","explorer shell:CredentialManager","","None"
"PrintHood","explorer shell:PrintHood","Microsoft\Windows\Printer Shortcuts","AppData"
"MAPIFolder","explorer shell:MAPIFolder","","None"
"User Pinned","explorer shell:User Pinned","User Pinned","Quick Launch"
"CD Burning","explorer shell:CD Burning","Microsoft\Windows\Burn\Burn","Local AppData"
"Local Music","explorer shell:Local Music","Music","None"
"UsersLibrariesFolder","explorer shell:UsersLibrariesFolder","","None"
"AppUpdatesFolder","explorer shell:AppUpdatesFolder","","None"
"Application Shortcuts","explorer shell:Application Shortcuts","Microsoft\Windows\Application Shortcuts","Local AppData"
"Common Start Menu","explorer shell:Common Start Menu","Microsoft\Windows\Start Menu","Common AppData"
"Common Start Menu Places","explorer shell:Common Start Menu Places","Microsoft\Windows\Start Menu Places","Common AppData"
"LocalAppDataLow","explorer shell:LocalAppDataLow","AppData\LocalLow","None"
"OneDrive","explorer shell:OneDrive","OneDrive","Profile"
"Templates","explorer shell:Templates","Microsoft\Windows\Templates","AppData"
"Programs","explorer shell:Programs","Programs","Start Menu"
"PicturesLibrary","explorer shell:PicturesLibrary","Pictures.library-ms","Libraries"
"Roamed Tile Images","explorer shell:Roamed Tile Images","Microsoft\Windows\RoamedTileImages","Local AppData"
"Camera Roll","explorer shell:Camera Roll","Camera Roll","My Pictures"
"Recent","explorer shell:Recent","Microsoft\Windows\Recent","AppData"
"AppDataDesktop","explorer shell:AppDataDesktop","Desktop","Local AppData"
"Desktop","explorer shell:Desktop","Desktop","None"
"CommonPictures","explorer shell:CommonPictures","Pictures","Public"
"RecycleBinFolder","explorer shell:RecycleBinFolder","","None"
"Screenshots","explorer shell:Screenshots","Screenshots","My Pictures"
"CryptoKeys","explorer shell:CryptoKeys","","None"
"Common Templates","explorer shell:Common Templates","Microsoft\Windows\Templates","Common AppData"
"Startup","explorer shell:Startup","StartUp","Programs"
"ImplicitAppShortcuts","explorer shell:ImplicitAppShortcuts","ImplicitAppShortcuts","User Pinned"
"UserProgramFilesCommon","explorer shell:UserProgramFilesCommon","Common","UserProgramFiles"
"Links","explorer shell:Links","Links","None"
"OEM Links","explorer shell:OEM Links","OEM Links","Common AppData"
"OneDriveMusic","explorer shell:OneDriveMusic","Music","OneDrive"
"Common Desktop","explorer shell:Common Desktop","Desktop","Public"
"NetHood","explorer shell:NetHood","Microsoft\Windows\Network Shortcuts","AppData"
"Ringtones","explorer shell:Ringtones","Microsoft\Windows\Ringtones","Local AppData"
"Common Administrative Tools","explorer shell:Common Administrative Tools","Administrative Tools","Common Programs"
"NetworkPlacesFolder","explorer shell:NetworkPlacesFolder","","None"
"SystemX86","explorer shell:SystemX86","","None"
"History","explorer shell:History","Microsoft\Windows\History","Local AppData"
"Development Files","explorer shell:Development Files","DevelopmentFiles","Local AppData"
"AddNewProgramsFolder","explorer shell:AddNewProgramsFolder","","None"
"Playlists","explorer shell:Playlists","Playlists","My Music"
"ProgramFilesCommonX86","explorer shell:ProgramFilesCommonX86","","None"
"PublicGameTasks","explorer shell:PublicGameTasks","Microsoft\Windows\GameExplorer","Common AppData"
"ChangeRemoveProgramsFolder","explorer shell:ChangeRemoveProgramsFolder","","None"
"Public","explorer shell:Public","","None"
"SavedPicturesLibrary","explorer shell:SavedPicturesLibrary","SavedPictures.library-ms","Libraries"
"CommonRingtones","explorer shell:CommonRingtones","Microsoft\Windows\Ringtones","Common AppData"
"Common Documents","explorer shell:Common Documents","Documents","Public"
"Captures","explorer shell:Captures","Captures","My Video"
"CSCFolder","explorer shell:CSCFolder","","None"
"Local AppData","explorer shell:Local AppData","AppData\Local","None"
"Windows","explorer shell:Windows","","None"
"UsersFilesFolder","explorer shell:UsersFilesFolder","","None"
"Local Documents","explorer shell:Local Documents","Documents","None"
"ProgramFilesCommon","explorer shell:ProgramFilesCommon","","None"
"Fonts","explorer shell:Fonts","","Windows"
"Personal","explorer shell:Personal","Documents","None"

