Protocol,Name,Command,Package Name,Package AppName,Package App Description,IsMicrosoft
"bingmaps://","","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.62.0_x64__8wekyb3d8bbwe\Maps.exe","Microsoft.WindowsMaps","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"bingnews://","bingnews","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.exe","Microsoft.BingNews","ms-resource:ApplicationTitleWithTagline","ms-resource:ApplicationTitleWithBrandingWithNewName",True
"bingweather://","bingweather","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.53.62621.0_x64__8wekyb3d8bbwe\Microsoft.Msn.Weather.exe","Microsoft.BingWeather","ms-resource:ApplicationTitleShort","ms-resource:ApplicationDescription",True
"calculator://","calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft.WindowsCalculator","ms-resource:AppName","ms-resource:AppDescription",True
"feedback-hub://","feedback-hub","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.exe","Microsoft.WindowsFeedbackHub","ms-resource:AppStoreName","ms-resource:AppDescription",True
"insiderhub://","insiderhub","C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2407.21972.0_x64__8wekyb3d8bbwe\PilotshubApp.exe","Microsoft.WindowsFeedbackHub","ms-resource:AppStoreName","ms-resource:AppDescription",True
"mailto://","mailto","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.22054.0_x64__8wekyb3d8bbwe\HxOutlook.exe C:\Program Files\WindowsApps\microsoft.outlookforwindows_1.2024.911.200_x64__8wekyb3d8bbwe\olk.exe","microsoft.windowscommunicationsapps Microsoft.OutlookForWindows","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_DisplayName Outlook (new)","ms-resource://microsoft.windowscommunicationsapps/hxoutlookintl/AppManifest_MailDesktop_Description Microsoft Outlook",True True
"microsoft.windows.camera://","microsoft.windows.camera","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
"microsoft.windows.camera.multipicker://","microsoft.windows.camera.multipicker","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
"microsoft.windows.camera.picker://","microsoft.windows.camera.picker","C:\Program Files\WindowsApps\Microsoft.WindowsCamera_2024.2408.1.0_x64__8wekyb3d8bbwe\WindowsCamera.exe","Microsoft.WindowsCamera","ms-resource:LensSDK/Resources/AppTitle","ms-resource:LensSDK/Resources/AppTitle",True
"microsoft.windows.photos.crop://","microsoft.windows.photos.crop","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe","Microsoft.Windows.Photos","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"Microsoft.Workfolders://","Microsoft Workfolders","C:\Windows\System32\control.exe /name Microsoft.WorkFolders","","","",True
"microsoft-edge://","microsoft-edge","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" ""%1""","","","",True
"microsoft-edge-holographic://","","","","","",True
"microsoftsolitairecollection://","microsoftsolitairecollection","C:\Program Files\WindowsApps\Microsoft.MicrosoftSolitaireCollection_4.20.9120.0_x64__8wekyb3d8bbwe\Solitaire.exe","Microsoft.MicrosoftSolitaireCollection","Solitaire & Casual Games","Solitaire & Casual Games",True
"microsoftvideo://","microsoftvideo","C:\Program Files\WindowsApps\Microsoft.WindowsStore_22408.1401.6.0_x64__8wekyb3d8bbwe\WinStore.App.exe","Microsoft.WindowsStore","Microsoft Store","ms-resource:StoreDescription",True
"ms-aad-brokerplugin://","ms-aad-brokerplugin","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Microsoft.AAD.BrokerPlugin.exe","Microsoft.AAD.BrokerPlugin","ms-resource:PackageDisplayName","ms-resource:PackageDescription",True
"ms-access://","Access Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-actioncenter://","ms-actioncenter","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft.Windows.ShellExperienceHost","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-appinstaller://","ms-appinstaller","C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.23.1911.0_x64__8wekyb3d8bbwe\AppInstaller.exe","Microsoft.DesktopAppInstaller","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-apprep://","ms-apprep","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe","Microsoft.Windows.Apprep.ChxApp","ms-resource:DisplayName","ms-resource:DisplayName",True
"ms-availablenetworks://","Available Networks Protocol","""C:\WINDOWS\system32\LaunchWinApp.exe"" ""%1""","","","",True
"ms-calculator://","ms-calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_11.2405.2.0_x64__8wekyb3d8bbwe\CalculatorApp.exe","Microsoft.WindowsCalculator","ms-resource:AppName","ms-resource:AppDescription",True
"ms-clipchamp://","ms-clipchamp","","","","",True
"ms-clock://","ms-clock","C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.195.0_x64__8wekyb3d8bbwe\Time.exe","Microsoft.WindowsAlarms","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-contact-support://","ms-contact-support","C:\Program Files\WindowsApps\Microsoft.GetHelp_10.2407.22431.0_x64__8wekyb3d8bbwe\GetHelp.exe","Microsoft.GetHelp","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-cortana2://","ms-cortana2","C:\Program Files\WindowsApps\Microsoft.549981C3F5F10_4.2308.1005.0_x64__8wekyb3d8bbwe\Cortana.exe","Microsoft.549981C3F5F10","Cortana","Cortana",True
"ms-crossdevice-files://","ms-crossdevice-files","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceFilesHost.exe","MicrosoftWindows.CrossDevice","CrossDevice Files","CrossDevice Files",True
"ms-crossdevice-settings://","ms-crossdevice-settings","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceSettingsHost.exe","MicrosoftWindows.CrossDevice","ms-resource://MicrosoftWindows.CrossDevice/SettingsResources/SettingsPageTitle","ms-resource://MicrosoftWindows.CrossDevice/SettingsResources/SettingsPageTitle",True
"ms-crossdevice-share://","ms-crossdevice-share","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.24082.53.0_x64__cw5n1h2txyewy\CrossDeviceShareHost.exe","MicrosoftWindows.CrossDevice","CrossDevice Share","CrossDevice Share",True
"ms-cxh://","ms-cxh","","Microsoft.Windows.CloudExperienceHost","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-cxh-full://","CloudExperienceHost Launch Protocol","","","","",True
"ms-cxh-wam://","CloudExperienceHost WAM Launch Protocol","","","","",True
"ms-default-location://","ms-default-location","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.62.0_x64__8wekyb3d8bbwe\Maps.exe","Microsoft.WindowsMaps","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"ms-devhome://","ms-devhome","C:\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.100.128.0_x64__8wekyb3d8bbwe\DevHome.exe","Microsoft.Windows.DevHome","ms-resource:AppDisplayNameStable","ms-resource:AppDescription",True
"ms-device-enrollment://","ms-device-enrollment","","Microsoft.Windows.CloudExperienceHost","ms-resource:appDisplayName","ms-resource:appDescription",True
"ms-device-enrollment2://","ms-device-enrollment2","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WebExperienceHostApp.exe","MicrosoftWindows.Client.CBS","ms-resource:WebExperienceHostAppName/Text","ms-resource:WebExperienceHostDescription",True
"ms-drive-to://","ms-drive-to","C:\Program Files\WindowsApps\Microsoft.WindowsMaps_1.0.62.0_x64__8wekyb3d8bbwe\Maps.exe","Microsoft.WindowsMaps","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"ms-edu-secureassessment://","ms-edu-secureassessment","C:\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\SecureAssessmentBrowser.exe","Microsoft.Windows.SecureAssessmentBrowser","ms-resource:PackageDisplayName","ms-resource:PackageDescription",True
"ms-excel://","Excel Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-eyecontrolspeech://","ms-eyecontrolspeech","C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe\Microsoft.ECApp.exe","Microsoft.ECApp","ms-resource:AppDisplayName","ms-resource:AppDescription",True
"ms-family://","ms-family","C:\Program Files\WindowsApps\MicrosoftCorporationII.MicrosoftFamily_0.2.40.0_x64__8wekyb3d8bbwe\FamilyHub.exe","MicrosoftCorporationII.MicrosoftFamily","Family","Microsoft Family",True
"ms-gamebar://","ms-gamebar","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe","Microsoft.XboxGamingOverlay","Game Bar","Game Bar",True
"ms-gamebarservices://","ms-gamebarservices","C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.54.4001.0_x64__8wekyb3d8bbwe\GameBar.exe","Microsoft.XboxGameOverlay","Xbox Game bar","Xbox",True
"msgamelaunch://","msgamelaunch","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe","Microsoft.GamingApp","Xbox","XboxPcApp",True
"msgamepass://","msgamepass","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe","Microsoft.GamingApp","Xbox","XboxPcApp",True
"msgamingapp://","msgamingapp","C:\Program Files\WindowsApps\Microsoft.GamingApp_2409.1001.5.0_x64__8wekyb3d8bbwe\XboxPcApp.exe","Microsoft.GamingApp","Xbox","XboxPcApp",True
"ms-gamingoverlay://","ms-gamingoverlay","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.224.9031.0_x64__8wekyb3d8bbwe\GameBar.exe","Microsoft.XboxGamingOverlay","Game Bar","Game Bar",True
"ms-getoffice://","ms-getoffice","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2409.1102.0_x64__8wekyb3d8bbwe\WebViewHost.exe","Microsoft.MicrosoftOfficeHub","Microsoft 365 (Office)","Microsoft 365 (Office)",True
"ms-get-started://","ms-get-started","C:\Program Files\WindowsApps\Microsoft.Getstarted_10.2312.1.0_x64__8wekyb3d8bbwe\WhatsNew.Store.exe","Microsoft.Getstarted","ms-resource:AppName","ms-resource:AppDescription",True
"ms-inputapp://","ms-inputapp","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","MicrosoftWindows.Client.CBS","ms-resource:AppDisplayName","WindowsInternal.ComposableShell.Experiences.TextInputUndocked.InputApp",True
"ms-insights://","ms-insights","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft.Windows.ShellExperienceHost","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-journal://","ms-journal","C:\Program Files\WindowsApps\Microsoft.MicrosoftJournal_1.23306.1292.0_x64__8wekyb3d8bbwe\Journal.exe","Microsoft.MicrosoftJournal","ms-resource:AppNameShort","Microsoft Journal",True
"ms-launchremotedesktop://","ms-launchremotedesktop","","","","",True
"ms-lwh://","ms-lwh","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LogonWebHostProduct.exe","MicrosoftWindows.Client.CBS","LogonWebHost","LogonWebHost",True
"ms-media-player://","ms-media-player","C:\Program Files\WindowsApps\Microsoft.ZuneMusic_11.2408.4.0_x64__8wekyb3d8bbwe\Microsoft.Media.Player.exe","Microsoft.ZuneMusic","ms-resource:AppName","ms-resource:AppDescription",True
"ms-meetnow://","ms-meetnow","C:\Program Files\WindowsApps\microsoftteams_24124.2402.2858.5617_x64__8wekyb3d8bbwe\msteams.exe","MicrosoftTeams","Microsoft Teams (personal)","Microsoft Teams (personal)",True
"ms-meetnowflyout://","ms-meetnowflyout","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft.Windows.ShellExperienceHost","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-mmsys://","","C:\WINDOWS\System32\rundll32.exe C:\WINDOWS\System32\shell32.dll,Control_RunDLL C:\WINDOWS\System32\mmsys.cpl %1","","","",True
"ms-msdt://","ms-msdt","""C:\WINDOWS\system32\msdt.exe"" %1","","","",True
"ms-msime-imepad://","","C:\Windows\System32\IME\SHARED\IMEPADSV.EXE %1","","","",True
"ms-msime-imjpdct://","","C:\Windows\System32\IME\IMEJP\IMJPDCT.EXE %1","","","",True
"msnews://","msnews","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.exe","Microsoft.BingNews","ms-resource:ApplicationTitleWithTagline","ms-resource:ApplicationTitleWithBrandingWithNewName",True
"msnnews://","msnnews","C:\Program Files\WindowsApps\Microsoft.BingNews_4.55.62231.0_x64__8wekyb3d8bbwe\Microsoft.Msn.News.exe","Microsoft.BingNews","ms-resource:ApplicationTitleWithTagline","ms-resource:ApplicationTitleWithBrandingWithNewName",True
"ms-notepad://","ms-notepad","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2407.9.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","Microsoft.WindowsNotepad","ms-resource:Resources/AppDisplayName_Notepad","ms-resource:Resources/AppDescription_Notepad",True
"msnweather://","msnweather","C:\Program Files\WindowsApps\Microsoft.BingWeather_4.53.62621.0_x64__8wekyb3d8bbwe\Microsoft.Msn.Weather.exe","Microsoft.BingWeather","ms-resource:ApplicationTitleShort","ms-resource:ApplicationDescription",True
"ms-officeapp://","ms-officeapp","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2409.1102.0_x64__8wekyb3d8bbwe\WebViewHost.exe","Microsoft.MicrosoftOfficeHub","Microsoft 365 (Office)","Microsoft 365 (Office)",True
"ms-office-storage-host://","Office Protocol","C:\Program Files\Microsoft Office\Root\Office16\protocolhandler.exe ""%1""","","","",True
"ms-outlook://","ms-outlook","C:\Program Files\WindowsApps\microsoft.outlookforwindows_1.2024.911.200_x64__8wekyb3d8bbwe\olk.exe","Microsoft.OutlookForWindows","Outlook (new)","Microsoft Outlook",True
"ms-paint://","ms-paint","C:\Program Files\WindowsApps\Microsoft.Paint_11.2406.42.0_x64__8wekyb3d8bbwe\PaintApp\mspaint.exe","Microsoft.Paint","ms-resource:Resources/AppDisplayName","ms-resource:Resources/AppDescription",True
"ms-penworkspace://","ms-penworkspace","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft.Windows.ShellExperienceHost","ms-resource:AppName/Text","ms-resource:AppDescription",True
"ms-people://","ms-people","C:\Program Files\WindowsApps\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe\PeopleApp.exe","Microsoft.People","ms-resource:AppListName","ms-resource:AppManifest_AppDescription",True
"ms-perception-simulation://","Perception Simulation Protocol","C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationInput.exe %1","","","",True
"ms-phone://","ms-phone","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.24082.137.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","Microsoft.YourPhone","ms-resource:AppName","ms-resource:AppName",True
"ms-photos://","ms-photos","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2024.11070.31001.0_x64__8wekyb3d8bbwe\Photos.exe","Microsoft.Windows.Photos","ms-resource:AppDisplayName","ms-resource:AppDescription",True
